% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 64.16    0.028203          15      1863      1754 recvmsg
 26.51    0.011651          18       645           poll
  9.30    0.004087          30       135           writev
  0.03    0.000014           4         3           uname
  0.00    0.000000           0        40           read
  0.00    0.000000           0        38           close
  0.00    0.000000           0        92           mmap
  0.00    0.000000           0        23           mprotect
  0.00    0.000000           0         2           munmap
  0.00    0.000000           0         4           brk
  0.00    0.000000           0         4           pread64
  0.00    0.000000           0        18        17 access
  0.00    0.000000           0         2           socket
  0.00    0.000000           0         2         1 connect
  0.00    0.000000           0         2           recvfrom
  0.00    0.000000           0         1           getpeername
  0.00    0.000000           0         1           getsockopt
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         3           fcntl
  0.00    0.000000           0         1           sysinfo
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           futex
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0        53        16 openat
  0.00    0.000000           0        37           newfstatat
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
  0.00    0.000000           0         1           getrandom
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ----------------
100.00    0.043955          14      2978      1789 total
